,Cloudiness (%),Humidity (%),Latitude,Temperature (F),Windspeed (mph)
0,68,100,62.23,50.0,14.99
1,76,100,-46.13,43.69,8.63
2,56,100,-33.65,63.67,10.76
3,90,100,69.45,26.6,9.17
4,75,54,-54.8,55.4,4.7
5,0,93,-34.53,60.43,12.55
6,90,86,53.05,41.0,26.84
7,75,87,52.62,51.35,10.29
8,0,77,-33.93,60.8,19.46
9,88,96,67.67,30.64,6.96
10,0,100,-10.62,78.25,3.71
11,12,100,-23.12,70.78,15.23
12,92,99,32.44,51.25,2.15
13,0,98,-37.62,54.44,10.65
14,0,81,50.35,25.91,4.72
15,20,29,27.5,78.74,4.5
16,68,100,72.79,27.89,6.17
17,90,74,70.47,28.4,13.87
18,0,68,50.72,25.78,6.73
19,0,54,11.11,76.49,2.71
20,88,85,62.1,16.51,4.83
21,20,29,27.5,78.74,4.5
22,88,100,-9.8,80.05,11.88
23,75,51,-41.32,60.8,6.93
24,44,100,-2.02,82.93,0.92
25,12,34,11.71,83.2,5.28
26,0,98,-37.62,54.44,10.65
27,75,54,-54.8,55.4,4.7
28,36,100,63.9,36.98,12.77
29,0,34,31.67,68.0,5.82
30,75,45,42.65,71.33,9.17
31,0,78,-12.93,78.8,2.24
32,68,91,3.65,77.66,2.37
33,75,87,52.62,51.35,10.29
34,40,53,32.67,71.6,11.41
35,0,26,25.93,72.71,7.18
36,40,86,56.01,37.4,6.71
37,92,23,22.68,86.26,10.98
38,90,100,69.45,26.6,9.17
39,0,80,-38.55,56.2,6.17
40,0,31,8.12,98.36,13.78
41,0,77,-33.93,60.8,19.46
42,90,82,-2.88,62.6,4.7
43,64,100,69.7,24.34,16.13
44,0,77,-33.93,60.8,19.46
45,0,71,-33.7,61.64,26.64
46,80,85,71.97,12.46,2.48
47,75,62,-42.78,57.2,11.41
48,8,100,-9.66,71.99,3.38
49,90,69,47.67,37.4,31.09
50,0,73,-15.77,71.6,3.36
51,0,100,-10.62,78.25,3.71
52,90,100,48.68,48.2,8.95
53,75,62,-42.78,57.2,11.41
54,20,29,27.5,78.74,4.5
55,68,98,14.35,68.03,2.15
56,75,72,-28.24,64.4,16.11
57,90,100,69.45,26.6,9.17
58,64,98,69.71,34.15,18.7
59,0,91,-33.59,66.86,6.62
60,20,29,27.5,78.74,4.5
61,12,100,-23.12,70.78,15.23
62,75,54,-54.8,55.4,4.7
63,0,81,-35.33,60.34,10.76
64,0,89,-5.35,75.28,2.37
65,32,100,60.62,32.0,1.12
66,1,92,60.55,16.77,3.36
67,0,57,-34.48,59.35,19.04
68,75,47,-53.15,59.0,18.34
69,0,13,20.52,93.86,6.51
70,40,88,38.53,71.6,10.29
71,88,53,-21.84,78.29,7.18
72,88,95,-35.1,58.76,12.1
73,90,86,71.29,26.6,12.75
74,0,12,32.87,53.6,4.7
75,75,54,-54.8,55.4,4.7
76,75,69,-0.74,75.2,11.41
77,75,69,-20.34,77.0,13.87
78,24,90,61.81,29.92,7.18
79,92,78,-4.88,85.36,3.94
80,40,73,29.06,75.2,18.34
81,12,78,41.76,34.6,2.71
82,0,100,-8.47,73.61,2.71
83,32,97,10.62,74.29,1.7
84,20,83,-25.02,77.0,28.86
85,68,80,-45.42,35.99,2.93
86,75,79,10.99,87.8,4.7
87,0,83,-35.34,53.09,6.51
88,40,56,6.8,93.2,13.87
89,8,76,-46.23,35.81,5.61
